Longitude,Latitude,Address Alias,Address,City,State,Zip Code,Phone,Schedule Date
-85.948343,32.930977,"Dollar General-Alexander City,AL",1235 Cherokee Rd,Alexander City,AL,35010-3920,(256) 234-9012,3/9/2017
-85.972485,32.936296,"Dollar General-Alexander City,AL",1538 Mill Sq,Alexander City,AL,35010-2674,(256) 215-5511,3/9/2017
-85.9426244,33.0229598,"Dollar General-Alexander City,AL",6278 Alabama 63,Alexander City,AL,35771-7175,(256) 414-3086,3/9/2017
