Alias,Address,City,State,Zip,Lat,Lng,Time,Time_window_start,Time_window_end
ToDelete - AME4019 ~ Ashmore Inn & Suites - Lubbock ~ REPID11,4019 S Loop 289,Lubbock,TX,79423-1131,33.52806,-101.90085,30,8:00,17:00
ToDelete - BES5410 ~ Best Western   Lubbock Windsor Inn ~ REPID11,5410 Interstate 27,Lubbock,TX,79404-4500,33.54325,-101.84609,30,8:00,17:00
ToDelete - HAW4435 ~ Hawthorn Inn & Suites - Lubbock ~ REPID11,4435 Marsha Sharp Fwy,Lubbock,TX,79407-2519,33.57272,-101.9063,30,8:00,17:00
ToDelete - LAQ1537 ~ La Quinta Inn #928 - Fort Shockton ~ REPID11,1537 N US Highway 285,Fort Stockton,TX,79735-4401,30.89894,-102.90596,30,8:00,17:00
ToDelete - LAQ200E ~ La Quinta Inn & Suites - Roswell ~ REPID11,200 E 19th St,Roswell,NM,88201-5101,33.41548,-104.51955,30,8:00,17:00
ToDelete - LAQ5006 ~ La Quinta Inn & Suites - Lubbock ~ REPID11,5006 Auburn St,Lubbock,TX,79416-3031,33.60204,-101.91882,30,8:00,17:00
ToDelete - SLE4630 ~ Sleep Inn - Hobbs ~ REPID11,4630 N Lovington Hwy,Hobbs,NM,88240,32.75277,-103.17197,30,8:00,17:00
ToDelete - BAY2601S ~ Baymont Inn & Suites - Perryton ~ REPID11,2601 S Main St,Perryton,TX,79070-5433,36.37478,-100.80198,30,8:00,17:00
ToDelete - BAY3411 ~ Baymont Inn & Suites - Amarillo ~ REPID11,3411 I-40 W,Amarillo,TX,79109,35.19033,-101.87668,30,8:00,17:00
ToDelete - SUP1807 ~ Super 8 Motel ~ REPID11,1807 E Service Rd,Van Horn,TX,79855,31.03986,-104.83077,30,8:00,17:00
ToDelete - BES1610 ~ Quality Inn - Amarillo ~ REPID11,1610 S Coulter St,Amarillo,TX,79106-1771,35.19566,-101.92258,30,8:00,17:00
ToDelete - BES206 ~ Best Western Plus Borger Inn ~ REPID11,206 S Cedar St,Borger,TX,79007-4646,35.66395,-101.3983,30,8:00,17:00
ToDelete - BES309 ~ Best Western Executive Inn- Hobbs ~ REPID11,309 N Marland Blvd,Hobbs,NM,88240-6341,32.70358,-103.12003,30,8:00,17:00
ToDelete - BES2101 ~ Best Western   Plus Monahans Inn & Suites ~ REPID11,2101 S Betty Ave,Monahans,TX,79756-7502,31.57408,-102.89067,30,8:00,17:00
ToDelete - HIL9000W ~ Hilton Garden Inn - Amarillo ~ REPID11,9000 I-40 W,Amarillo,TX,79159,35.18803,-101.94194,30,8:00,17:00
ToDelete - SUP3817 ~ Super 8 Motel - Carlsbad ~ REPID11,3817 National Parks Hwy,Carlsbad,NM,88220-5952,32.37569,-104.22992,30,8:00,17:00
ToDelete - LUX2915 ~ Luxury Inn & Suites ~ REPID11,2915 E Interstate 40,Amarillo,TX,79104-3503,35.19446,-101.80379,30,8:00,17:00
ToDelete - MCM5200 ~ MCM Elegante Odessa ~ REPID11,5200 E University Blvd,Odessa,TX,79762-8113,31.88227,-102.31408,30,8:00,17:00
ToDelete - BES3506 ~ Best Western   Perryton Inn ~ REPID11,3505 S Main St Hwy 83,Perryton,TX,79070,36.40003,-100.80265,30,8:00,17:00
ToDelete - BES830 ~ Best Western   Red Carpet Inn ~ REPID11,830 W 1st St,Hereford,TX,79045-6002,34.81109,-102.40629,30,8:00,17:00
ToDelete - BES1701 ~ Best Western   Windsor Inn ~ REPID11,1701 S Dumas Ave,Dumas,TX,79029-5527,35.846,-101.97301,30,8:00,17:00
ToDelete - BES2801 ~ Best Western   Palo Duro Canyon Inn & Suites ~ REPID11,2801 4th Ave,Canyon,TX,79015-4227,34.98027,-101.91003,30,8:00,17:00
ToDelete - CAL2410 ~ Calico County Restaurant ~ REPID11,2410 Paramount Blvd,Amarillo,TX,79109-1706,35.18822,-101.87396,30,8:00,17:00
ToDelete - COM3595 ~ Comfort Inn - Roswell ~ REPID11,3595 N Main St,Roswell,NM,88201-9771,33.4407,-104.52249,30,8:00,17:00
ToDelete - MCM6201 ~ Mcm Grande Hotel ~ REPID11,6201 E Hwy 80,Odessa,TX,79761,31.84501,-102.36671,30,8:00,17:00
ToDelete - HOM8800 ~ Homewood Suites - Amarillo ~ REPID11,8800 I-40 W,Amarillo,TX,79124,35.18813,-101.94046,30,8:00,17:00
ToDelete - COM801S ~ Comfort Inn & Suites - Odessa ~ REPID11,801 S Jbs Pkwy,Odessa,TX,79761,31.85554,-102.31695,30,8:00,17:00
ToDelete - COM2101E ~ Comfort Inn & Suites ~ REPID11,2101 E Interstate 40,Amarillo,TX,79102-4404,35.1956,-101.86111,30,8:00,17:00
ToDelete - ODE1 ~ Odessa Country Club ~ REPID11,1 Fairway Dr,Odessa,TX,79765-8936,31.89791,-102.28192,30,8:00,17:00
