Alias,Address,City,State,Zip,Lat,Lng,Time,Time_window_start,Time_window_end,
ToDelete - WGA-SPR150 ~ Springhill Suites - Savannah Montgomery ~ REPID3503,150 Montgomery Street,Savannah,GA,31401,32.07814,-81.09644,30,8:00,17:00,
ToDelete - WGA-SPR11317 ~ Springhill Suites - Savannah Abercorn ~ REPID3503,11317 Abercorn Street,Savannah,GA,31419,31.97966,-81.14764,30,8:00,17:00,
ToDelete - WGA-SPR4 ~ Springhill Suites - Savannah Gateway ~ REPID3503,4 Gateway Boulevard East,Savannah,GA,31419,32.00508,-81.27949,30,8:00,17:00,
ToDelete - WGA-STA301 ~ Staybridge Ste.Savannah Historic District ~ REPID3503,301 E. Bay Street,Savannah,GA,31401,32.07977,-81.08775,30,8:00,17:00,
ToDelete - WGA-STA1 ~ Staybridge Suites ~ REPID3503,1 Clyde E Martin Dr,Savannah,GA,31408-8069,32.13994,-81.23779,30,8:00,17:00,
ToDelete - WGA-TOW11309 ~ Towne Place Suites ~ REPID3503,11309 Abercorn Street,Savannah,GA,31419,31.97927,-81.14645,30,8:00,17:00,
ToDelete - WGA-WES1 ~ Westin Savannah Harbor Resort ~ REPID3503,1 Resort Drive,Savannah,GA,31421,32.0843,-81.08503,30,8:00,17:00,
ToDelete - WGA-WIN11 ~ Holiday Inn - Savannah ~ REPID3503,11 Gateway Blvd. E.,Savannah,GA,31419,32.00721,-81.27883,30,8:00,17:00,
ToDelete - WGA-WIN15 ~ Wingate Inn - Sylvester - Savannah ~ REPID3503,50 Sylvester C. Formey Drive,Savannah,GA,31408,32.13752,-81.23488,30,8:00,17:00,
ToDelete - WGA-CLO100 ~ Cloister Hotel ~ REPID3503,100 Cloister Dr,Sea Island,GA,31561,31.18076,-81.35029,30,8:00,17:00,
ToDelete - PAL318 ~ Palm Coast Enterprise Inc ~ REPID3503,318 Mallery St,Saint Simons Island,GA,31522-4729,31.13643,-81.39539,30,8:00,17:00,
ToDelete - DAY930S ~ Days Inn -Alma ~ REPID3503,930 S Pierce St,Alma,GA,31510-3527,31.53333,-82.46323,30,8:00,17:00,
