order_id,Longitude,Latitude,Address Alias,Address,City,State,Zip Code,Phone,Schedule Date
48,-85.948343,32.930977,"Dollar General-Alexander City,AL",1235 Cherokee Rd,Alexander City,AL,35010-3920,(256) 234-9012,3/10/2017
49,-85.972485,32.936296,"Dollar General-Alexander City,AL",1538 Mill Sq,Alexander City,AL,35010-2674,(256) 215-5511,3/10/2017
50,-85.9426244,33.0229598,"Dollar General-Alexander City,AL",6278 Alabama 63,Alexander City,AL,35771-7175,(256) 414-3086,3/10/2017
51,-85.945398,32.955069,"Dollar General-Alexander City,AL",819 K St,Alexander City,AL,35010-1325,(256) 409-1495,3/10/2017
52,-86.4617237,31.3196846,"Dollar General-Andalusia,AL",118 Shelby Street,Andalusia,AL,36420-2403,(334) 222-5456,3/10/2017
