-91.053699,30.549429,"Dollar General-Baton Rouge,LA",11215 Joor Rd,Baton Rouge,LA,70818-3410,(225) 262-4406,3/8/2017
-91.066445,30.365442,"Dollar General-Baton Rouge,LA",13738 Perkins Rd,Baton Rouge,LA,70810-3433,(225) 753-2340,3/8/2017
-91.021789,30.408385,"Dollar General-Baton Rouge,LA",13965 Coursey Blvd,Baton Rouge,LA,70817-1310,(225) 755-3907,3/8/2017
-91.020809,30.391544,"Dollar General-Baton Rouge,LA",14660 Tiger Bend Rd,Baton Rouge,LA,70817-4613,(225) 753-4454,3/8/2017
-91.014863,30.456943,"Dollar General-Baton Rouge,LA",15363 Old Hammond Hwy,Baton Rouge,LA,70816-1250,(225) 275-3004,3/8/2017
-91.065884,30.436507,"Dollar General-Baton Rouge,LA",1777 Sharp Rd,Baton Rouge,LA,70815-4857,(225) 274-8985,3/8/2017
-91.111477,30.391458,"Dollar General-Baton Rouge,LA",1871B Staring Ln,Baton Rouge,LA,70810-1031,(225) 761-4163,3/8/2017
-91.051124,30.458791,"Dollar General-Baton Rouge,LA",191 Little John Dr,Baton Rouge,LA,70815-6123,(225) 272-2978,3/8/2017
-91.165273,30.465205,"Dollar General-Baton Rouge,LA",1931 Plank Rd,Baton Rouge,LA,70802-2942,(225) 358-4495,3/8/2017
-91.005683,30.361148,"Dollar General-Baton Rouge,LA",20321 Highland Rd,Baton Rouge,LA,70817-7346,(225) 751-4436,3/8/2017
-91.150632,30.470343,"Dollar General-Baton Rouge,LA",3939 Choctaw Dr,Baton Rouge,LA,70805,(225) 356-0039,3/8/2017
-91.1579492,30.4860856,"Dollar General-Baton Rouge,LA",4017 Plank Road,Baton Rouge,LA,70809,(225) 228-0923,3/8/2017
-91.1428919,30.4875507,"Dollar General-Baton Rouge,LA",4755 Prescott Road,Baton Rouge,LA,70809-5252,(225) 228-0999,3/8/2017
-91.144178,30.523743,"Dollar General-Baton Rouge,LA",4770 Hooper Rd,Baton Rouge,LA,70811,(225) 355-3532,3/8/2017
-91.136011,30.506717,"Dollar General-Baton Rouge,LA",5455 Airline Hwy,Baton Rouge,LA,70805-1712,(225) 356-0896,3/8/2017
-91.13173,30.444669,"Dollar General-Baton Rouge,LA",5652 Government St,Baton Rouge,LA,70806-6034,(225) 926-0018,3/8/2017
-91.151736,30.504065,"Dollar General-Baton Rouge,LA",5953 Plank Rd,Baton Rouge,LA,70805-1323,(225) 355-9830,3/8/2017
-91.170758,30.506037,"Dollar General-Baton Rouge,LA",6315 Scenic Hwy,Baton Rouge,LA,70805,(225) 308-2192,3/8/2017
-91.1190572,30.4738507,"Dollar General-Baton Rouge,LA",7055 Greenwell Springs Rd,Baton Rouge,LA,70805-7441,(225) 532-2522,3/8/2017
-91.093702,30.442552,"Dollar General-Baton Rouge,LA",8656 Goodwood Blvd,Baton Rouge,LA,70806-7912,(225) 923-2235,3/8/2017
-91.085014,30.485034,"Dollar General-Baton Rouge,LA",9355 Greenwell Springs Rd,Baton Rouge,LA,70814,(225) 928-3648,3/8/2017
-91.123735,30.360223,"Dollar General-Baton Rouge,LA",9401 Burbank Dr,Baton Rouge,LA,70810-6177,(225) 768-7478,3/8/2017
